AIC2021
Protected
20 20
870 499
horizontal
90
M 2 13
M 17 13
M 3 13
M 16 13
M 4 13
M 15 13
M 5 13
M 14 13
M 6 13
M 13 13
M 6 12
M 13 12
M 6 11
M 13 11
M 6 10
M 13 10
M 6 9
M 13 9
M 6 8
M 13 8
M 6 7
M 13 7
M 6 6
M 13 6
M 6 5
M 13 5
M 5 5
M 14 5
M 4 5
M 15 5
M 3 5
M 16 5
M 2 5
M 17 5
N 5 10 50
N 14 10 50
N 4 11 50
N 15 11 50
N 3 12 50
N 16 12 50
N 4 12 50
N 15 12 50
N 5 12 50
N 14 12 50
N 5 11 50
N 14 11 50
N 8 19 50
N 11 19 50
N 9 19 50
N 10 19 50
N 8 18 50
N 11 18 50
N 9 18 50
N 10 18 50
N 8 17 50
N 11 17 50
N 9 17 50
N 10 17 50
N 8 16 50
N 11 16 50
N 9 16 50
N 10 16 50
D 3 6 50
D 16 6 50
D 4 7 50
D 15 7 50
D 5 8 50
D 14 8 50
D 5 7 50
D 14 7 50
D 5 6 50
D 14 6 50
D 4 6 50
D 15 6 50
D 8 3 50
D 11 3 50
D 8 2 50
D 11 2 50
D 8 1 50
D 11 1 50
D 8 0 50
D 11 0 50
D 9 0 50
D 10 0 50
D 10 1 50
D 9 1 50
D 9 2 50
D 10 2 50
D 9 3 50
D 10 3 50
1
2 9
17 9
